year,month,day,ytp_acm_10_d,threefytp10,dkw_realtermprem10,dkw_realtermprem5f5,treas_pd,agency_pd,mbs_pd,corp_pd,log_dur_pd,aggincgap,dur_fieq,dur_fi
1961,6,14,.3610823877588181,,,,,,,,,,,
1961,6,15,.4031570359851737,,,,,,,,,,,
1961,6,16,.4059740078127256,,,,,,,,,,,
1961,6,19,.4211135300601407,,,,,,,,,,,
1961,6,20,.4007137246336536,,,,,,,,,,,
1961,6,21,.4071700788044628,,,,,,,,,,,
1961,6,22,.4023256174249878,,,,,,,,,,,
1961,6,23,.409591003648591,,,,,,,,,,,
1961,6,26,.416785457549417,,,,,,,,,,,
1961,6,27,.4342040002426324,,,,,,,,,,,
1961,6,28,.4332399550125023,,,,,,,,,,,
1961,6,29,.44114304520255,,,,,,,,,,,
1961,6,30,.4194374497414057,,,,,,,,,,,
1961,7,3,.4222999557817455,,,,,,,,,,,
1961,7,5,.4728402062452215,,,,,,,,,,,
1961,7,6,.4764519889220575,,,,,,,,,,,
1961,7,7,.4831310055435583,,,,,,,,,,,
1961,7,10,.4866486938116923,,,,,,,,,,,
1961,7,11,.4955647768975355,,,,,,,,,,,
1961,7,12,.5227887333936549,,,,,,,,,,,
1961,7,13,.51480121158425,,,,,,,,,,,
1961,7,14,.5637301908433878,,,,,,,,,,,
1961,7,17,.5477936686305109,,,,,,,,,,,
1961,7,18,.5491119037797554,,,,,,,,,,,
1961,7,19,.5417396323412964,,,,,,,,,,,
1961,7,20,.5237816883885524,,,,,,,,,,,
1961,7,21,.5381335595467602,,,,,,,,,,,
1961,7,24,.5372917254624641,,,,,,,,,,,
1961,7,25,.5574667467766954,,,,,,,,,,,
1961,7,26,.5365897641135566,,,,,,,,,,,
1961,7,27,.5867002086232032,,,,,,,,,,,
1961,7,28,.5873540042003458,,,,,,,,,,,
1961,7,31,.6585391779080174,,,,,,,,,,,
1961,8,1,.6074692721740607,,,,,,,,,,,
1961,8,2,.5896901698955919,,,,,,,,,,,
1961,8,3,.6301732419583397,,,,,,,,,,,
1961,8,4,.6243080600465252,,,,,,,,,,,
1961,8,7,.6680500444429498,,,,,,,,,,,
1961,8,8,.6692567702612715,,,,,,,,,,,
1961,8,9,.6535406572305464,,,,,,,,,,,
1961,8,10,.6345714130938713,,,,,,,,,,,
1961,8,11,.5950569944479551,,,,,,,,,,,
1961,8,14,.584999306600599,,,,,,,,,,,
1961,8,15,.5813607705702588,,,,,,,,,,,
1961,8,16,.5653990314082602,,,,,,,,,,,
1961,8,17,.5356461462634718,,,,,,,,,,,
1961,8,18,.4905962678828697,,,,,,,,,,,
1961,8,21,.4743981210639974,,,,,,,,,,,
1961,8,22,.473017980454272,,,,,,,,,,,
1961,8,23,.4814909025548002,,,,,,,,,,,
1961,8,24,.502628989150971,,,,,,,,,,,
1961,8,25,.5082841567696978,,,,,,,,,,,
1961,8,28,.5069643473887235,,,,,,,,,,,
1961,8,29,.5080316379211194,,,,,,,,,,,
1961,8,30,.5120963819769515,,,,,,,,,,,
1961,8,31,.5386040015295275,,,,,,,,,,,
1961,9,1,.5326433273656113,,,,,,,,,,,
1961,9,5,.5309496264618714,,,,,,,,,,,
1961,9,6,.5262648635339695,,,,,,,,,,,
1961,9,7,.5201947960086546,,,,,,,,,,,
1961,9,8,.526899610530422,,,,,,,,,,,
1961,9,11,.5125687279913866,,,,,,,,,,,
1961,9,12,.5130421405325496,,,,,,,,,,,
1961,9,13,.5002618041221965,,,,,,,,,,,
1961,9,14,.4962423844748427,,,,,,,,,,,
1961,9,15,.4924451853194278,,,,,,,,,,,
1961,9,18,.4930518742310386,,,,,,,,,,,
1961,9,19,.4776955578223196,,,,,,,,,,,
1961,9,20,.4687808353866871,,,,,,,,,,,
1961,9,21,.4453372051218998,,,,,,,,,,,
1961,9,22,.4458376082977171,,,,,,,,,,,
1961,9,25,.4381775146988542,,,,,,,,,,,
1961,9,26,.4030252101882579,,,,,,,,,,,
1961,9,27,.412862643875977,,,,,,,,,,,
1961,9,28,.417921042111943,,,,,,,,,,,
1961,9,29,.4626473809185652,,,,,,,,,,,
1961,10,2,.4617708583661306,,,,,,,,,,,
1961,10,3,.4652204498381716,,,,,,,,,,,
1961,10,4,.4223512935744678,,,,,,,,,,,
1961,10,5,.411941282595035,,,,,,,,,,,
1961,10,6,.4263646277672959,,,,,,,,,,,
1961,10,9,.3731375117903126,,,,,,,,,,,
1961,10,10,.2915604148848754,,,,,,,,,,,
1961,10,11,.3237891540912927,,,,,,,,,,,
1961,10,13,.3038827432001332,,,,,,,,,,,
1961,10,16,.2955292107648564,,,,,,,,,,,
1961,10,17,.2573621332920881,,,,,,,,,,,
1961,10,18,.2512977935323879,,,,,,,,,,,
1961,10,19,.2565905422185639,,,,,,,,,,,
1961,10,20,.2336508565753301,,,,,,,,,,,
1961,10,23,.2205834971981377,,,,,,,,,,,
1961,10,24,.2012257720002051,,,,,,,,,,,
1961,10,25,.150600758851414,,,,,,,,,,,
1961,10,26,.2093503925233633,,,,,,,,,,,
1961,10,27,.3498391308271507,,,,,,,,,,,
1961,10,30,.3405834982877707,,,,,,,,,,,
1961,10,31,.5485004788554662,,,,,,,,,,,
1961,11,1,.3943581650962069,,,,,,,,,,,
1961,11,2,.3507724940929213,,,,,,,,,,,
1961,11,3,.3477785832841094,,,,,,,,,,,
1961,11,6,.3957366796359585,,,,,,,,,,,
1961,11,8,.4603867381821614,,,,,,,,,,,
1961,11,9,.2988094916055895,,,,,,,,,,,
1961,11,10,.2130035959478107,,,,,,,,,,,
1961,11,13,.2242815053169265,,,,,,,,,,,
1961,11,14,.0751283234065734,,,,,,,,,,,
1961,11,15,.2145199911736482,,,,,,,,,,,
1961,11,16,.1917449019865973,,,,,,,,,,,
1961,11,17,.2166544402357249,,,,,,,,,,,
1961,11,20,.1423533552325198,,,,,,,,,,,
1961,11,21,.1024057903482092,,,,,,,,,,,
1961,11,22,.0313951832577106,,,,,,,,,,,
1961,11,24,.0325222917164365,,,,,,,,,,,
1961,11,27,-.0628982377596894,,,,,,,,,,,
1961,11,28,-.0385789038252971,,,,,,,,,,,
1961,11,29,-.0821952420257492,,,,,,,,,,,
1961,11,30,.3253945730982921,,,,,,,,,,,
1961,12,1,.0440614291184742,,,,,,,,,,,
1961,12,4,-.1225357721116076,,,,,,,,,,,
1961,12,5,-.1162545911454882,,,,,,,,,,,
1961,12,6,-.0752593218793072,,,,,,,,,,,
1961,12,7,-.0934087444646763,,,,,,,,,,,
1961,12,8,-.0603145346295966,,,,,,,,,,,
1961,12,11,-.0855575264743482,,,,,,,,,,,
1961,12,12,-.1958089570548176,,,,,,,,,,,
1961,12,13,-.1029537253477413,,,,,,,,,,,
1961,12,14,-.033981655046512,,,,,,,,,,,
1961,12,15,.0160340110614916,,,,,,,,,,,
1961,12,18,.003935990307713,,,,,,,,,,,
1961,12,19,.031408186356797,,,,,,,,,,,
1961,12,20,-.0493919196561925,,,,,,,,,,,
1961,12,21,-.0554910120723928,,,,,,,,,,,
1961,12,22,.0804001863849755,,,,,,,,,,,
1961,12,26,.1141275599883662,,,,,,,,,,,
1961,12,27,.1173533408150229,,,,,,,,,,,
1961,12,28,-.0832507064672443,,,,,,,,,,,
1961,12,29,.1159217928080114,,,,,,,,,,,
1962,1,2,-.2047180678681912,,,,,,,,,,,
1962,1,3,-.2486434022190567,,,,,,,,,,,
1962,1,4,-.2956925183845924,,,,,,,,,,,
1962,1,5,-.2209656338304877,,,,,,,,,,,
1962,1,8,-.0193907344255977,,,,,,,,,,,
1962,1,9,-.0963666288251543,,,,,,,,,,,
1962,1,10,-.0618164963563128,,,,,,,,,,,
1962,1,11,-.0748852031973639,,,,,,,,,,,
1962,1,12,.1286487735829938,,,,,,,,,,,
1962,1,15,.1684442139613065,,,,,,,,,,,
1962,1,16,.2188046601007669,,,,,,,,,,,
1962,1,17,.2091567229851758,,,,,,,,,,,
1962,1,18,.2350603112373419,,,,,,,,,,,
1962,1,19,.2763824431083712,,,,,,,,,,,
1962,1,22,.3034898420612544,,,,,,,,,,,
1962,1,23,.2931452188726817,,,,,,,,,,,
1962,1,24,.2958116793667052,,,,,,,,,,,
1962,1,25,.3170230214073642,,,,,,,,,,,
1962,1,26,.3663683661610833,,,,,,,,,,,
1962,1,29,.4049049296339171,,,,,,,,,,,
1962,1,30,.4102919913628527,,,,,,,,,,,
1962,1,31,.4157590045757127,,,,,,,,,,,
1962,2,1,.4326328881616957,,,,,,,,,,,
1962,2,2,.4793249882283521,,,,,,,,,,,
1962,2,5,.4392014952195682,,,,,,,,,,,
1962,2,6,.4366602966864397,,,,,,,,,,,
1962,2,7,.4276260916650858,,,,,,,,,,,
1962,2,8,.3939429015895923,,,,,,,,,,,
1962,2,9,.3907705067272427,,,,,,,,,,,
1962,2,13,.360555133046331,,,,,,,,,,,
1962,2,14,.3427027008092387,,,,,,,,,,,
1962,2,15,.3731547192100546,,,,,,,,,,,
1962,2,16,.3791111266857206,,,,,,,,,,,
1962,2,19,.3614972019922256,,,,,,,,,,,
1962,2,20,.3568697149159905,,,,,,,,,,,
1962,2,21,.3629289759729533,,,,,,,,,,,
1962,2,23,.3592929917426821,,,,,,,,,,,
1962,2,26,.3737714703325477,,,,,,,,,,,
1962,2,27,.3606815005804229,,,,,,,,,,,
1962,2,28,.4069932907267759,,,,,,,,,,,
1962,3,1,.6220056842300403,,,,,,,,,,,
1962,3,2,.5670837154796939,,,,,,,,,,,
1962,3,5,.4898820265701453,,,,,,,,,,,
1962,3,6,.5135755362540584,,,,,,,,,,,
1962,3,7,.5251446802102482,,,,,,,,,,,
1962,3,8,.5231146381692624,,,,,,,,,,,
1962,3,9,.4742354566771989,,,,,,,,,,,
1962,3,12,.4697067014392684,,,,,,,,,,,
1962,3,13,.4412492440670945,,,,,,,,,,,
1962,3,14,.4696142943512953,,,,,,,,,,,
1962,3,15,.4964062760998389,,,,,,,,,,,
1962,3,16,.5372555395190401,,,,,,,,,,,
1962,3,19,.5514927791085795,,,,,,,,,,,
1962,3,20,.5311746694265889,,,,,,,,,,,
1962,3,21,.483359550627168,,,,,,,,,,,
1962,3,22,.5751535604835478,,,,,,,,,,,
1962,3,23,.5634057982024534,,,,,,,,,,,
1962,3,26,.5261334595721769,,,,,,,,,,,
1962,3,27,.5109133125666241,,,,,,,,,,,
1962,3,28,.5169919044510345,,,,,,,,,,,
1962,3,29,.55111291270364,,,,,,,,,,,
1962,3,30,.5342292876032935,,,,,,,,,,,
1962,4,2,.5159737987867938,,,,,,,,,,,
1962,4,3,.5106034496990994,,,,,,,,,,,
1962,4,4,.5470865056304763,,,,,,,,,,,
1962,4,5,.5581145049480538,,,,,,,,,,,
1962,4,6,.5559185850767911,,,,,,,,,,,
1962,4,9,.5605284710142819,,,,,,,,,,,
1962,4,10,.5198936966378054,,,,,,,,,,,
1962,4,11,.4943457760773553,,,,,,,,,,,
1962,4,12,.5142563282000214,,,,,,,,,,,
1962,4,13,.5305406692148833,,,,,,,,,,,
1962,4,16,.5132499478953241,,,,,,,,,,,
1962,4,17,.4863979885547738,,,,,,,,,,,
1962,4,18,.515520243495049,,,,,,,,,,,
1962,4,19,.4990548808553785,,,,,,,,,,,
1962,4,23,.5043052013706162,,,,,,,,,,,
1962,4,24,.4779200197712754,,,,,,,,,,,
1962,4,25,.4795096277404101,,,,,,,,,,,
1962,4,26,.4981741094444954,,,,,,,,,,,
1962,4,27,.3883918944603306,,,,,,,,,,,
1962,4,30,.3361018294700835,,,,,,,,,,,
1962,5,1,.3363086091564496,,,,,,,,,,,
1962,5,2,.3747520663529742,,,,,,,,,,,
1962,5,3,.3988561742256858,,,,,,,,,,,
1962,5,4,.4061434525981031,,,,,,,,,,,
1962,5,7,.4098314750780343,,,,,,,,,,,
1962,5,8,.4074008477279829,,,,,,,,,,,
1962,5,9,.382420229087209,,,,,,,,,,,
1962,5,10,.3974707317219659,,,,,,,,,,,
1962,5,11,.4205753200058751,,,,,,,,,,,
1962,5,14,.4370256751158723,,,,,,,,,,,
1962,5,15,.5040585057189357,,,,,,,,,,,
1962,5,16,.5018832479182933,,,,,,,,,,,
1962,5,17,.5315645137914422,,,,,,,,,,,
1962,5,18,.5572437151325267,,,,,,,,,,,
1962,5,21,.5644370949565403,,,,,,,,,,,
1962,5,22,.558142043732897,,,,,,,,,,,
1962,5,23,.5605230249122992,,,,,,,,,,,
1962,5,24,.5436874250816013,,,,,,,,,,,
1962,5,25,.5478830655660127,,,,,,,,,,,
1962,5,28,.5560848492715684,,,,,,,,,,,
1962,5,29,.5804814190535534,,,,,,,,,,,
1962,5,31,.5952280473514158,,,,,,,,,,,
1962,6,1,.5992967713175159,,,,,,,,,,,
1962,6,4,.6031681974302177,,,,,,,,,,,
1962,6,5,.6222637259961861,,,,,,,,,,,
1962,6,6,.6180105219711014,,,,,,,,,,,
1962,6,7,.6111913983054595,,,,,,,,,,,
1962,6,8,.6133660246115307,,,,,,,,,,,
1962,6,11,.6026882654152623,,,,,,,,,,,
1962,6,12,.6317643230032925,,,,,,,,,,,
1962,6,13,.634113154669834,,,,,,,,,,,
1962,6,14,.7301541808132606,,,,,,,,,,,
1962,6,15,.7044146287305795,,,,,,,,,,,
1962,6,18,.7134879569022683,,,,,,,,,,,
1962,6,19,.6895746468532478,,,,,,,,,,,
1962,6,20,.6849510659388978,,,,,,,,,,,
1962,6,21,.6971167328510903,,,,,,,,,,,
1962,6,22,.6104825040634982,,,,,,,,,,,
1962,6,25,.574554480359331,,,,,,,,,,,
1962,6,26,.4567621085241598,,,,,,,,,,,
1962,6,27,.5236345635360835,,,,,,,,,,,
1962,6,28,.4843458927615059,,,,,,,,,,,
1962,6,29,.4651414699861971,,,,,,,,,,,
1962,7,2,.4116592709735247,,,,,,,,,,,
1962,7,3,.3853757409012148,,,,,,,,,,,
1962,7,5,.3806469247143531,,,,,,,,,,,
1962,7,6,.391293096323917,,,,,,,,,,,
1962,7,9,.3930139914018009,,,,,,,,,,,
1962,7,10,.3651596395900878,,,,,,,,,,,
1962,7,11,.4167336830117163,,,,,,,,,,,
1962,7,12,.4207139235625705,,,,,,,,,,,
1962,7,13,.4217318551632441,,,,,,,,,,,
1962,7,16,.4585141361926435,,,,,,,,,,,
1962,7,17,.4306771809602723,,,,,,,,,,,
1962,7,18,.4407955517910636,,,,,,,,,,,
1962,7,19,.4831331632657605,,,,,,,,,,,
1962,7,20,.4972018366137116,,,,,,,,,,,
1962,7,23,.5114381872960028,,,,,,,,,,,
1962,7,24,.5163453950636248,,,,,,,,,,,
1962,7,25,.5135529258660712,,,,,,,,,,,
1962,7,26,.5030382340338568,,,,,,,,,,,
1962,7,27,.4891122223618489,,,,,,,,,,,
1962,7,30,.514850039820546,,,,,,,,,,,
1962,7,31,.5320475861310854,,,,,,,,,,,
1962,8,1,.551648520892861,,,,,,,,,,,
1962,8,2,.5990383615812225,,,,,,,,,,,
1962,8,3,.6070271534006486,,,,,,,,,,,
1962,8,6,.6317644853126896,,,,,,,,,,,
1962,8,7,.6155592357012507,,,,,,,,,,,
1962,8,8,.6220303362483639,,,,,,,,,,,
1962,8,9,.5979329639010249,,,,,,,,,,,
1962,8,10,.6032745533835233,,,,,,,,,,,
1962,8,13,.6188056770756765,,,,,,,,,,,
1962,8,14,.6286378355945357,,,,,,,,,,,
1962,8,15,.6437640169670416,,,,,,,,,,,
1962,8,16,.6632965452562352,,,,,,,,,,,
1962,8,17,.6841246657444673,,,,,,,,,,,
1962,8,20,.6666909361157867,,,,,,,,,,,
1962,8,21,.6522290175644456,,,,,,,,,,,
1962,8,22,.6510435237960821,,,,,,,,,,,
1962,8,23,.6714333593912682,,,,,,,,,,,
1962,8,24,.6766684928157733,,,,,,,,,,,
1962,8,27,.6933613087413821,,,,,,,,,,,
1962,8,28,.6822354452258703,,,,,,,,,,,
1962,8,29,.6889747944101545,,,,,,,,,,,
1962,8,30,.6847230328521343,,,,,,,,,,,
1962,8,31,.6241826811097049,,,,,,,,,,,
1962,9,4,.5987838586220073,,,,,,,,,,,
1962,9,5,.6170391508005317,,,,,,,,,,,
1962,9,6,.6770780932435088,,,,,,,,,,,
1962,9,7,.6541901505064929,,,,,,,,,,,
1962,9,10,.6326725398434427,,,,,,,,,,,
1962,9,11,.6134987986870777,,,,,,,,,,,
1962,9,12,.6558052064203661,,,,,,,,,,,
1962,9,13,.6455947690867165,,,,,,,,,,,
1962,9,14,.6058360975562795,,,,,,,,,,,
1962,9,17,.6268122908511709,,,,,,,,,,,
1962,9,18,.6150802269042952,,,,,,,,,,,
1962,9,19,.6234800238647211,,,,,,,,,,,
1962,9,20,.6266108542383968,,,,,,,,,,,
1962,9,21,.6584472298737745,,,,,,,,,,,
1962,9,24,.6466734457985384,,,,,,,,,,,
1962,9,25,.6761072109770181,,,,,,,,,,,
1962,9,26,.662890397841005,,,,,,,,,,,
1962,9,27,.659810743167677,,,,,,,,,,,
1962,9,28,.6759862772458449,,,,,,,,,,,
1962,10,1,.6773302717250456,,,,,,,,,,,
1962,10,2,.698867582503178,,,,,,,,,,,
1962,10,3,.7160451175346445,,,,,,,,,,,
1962,10,4,.7370110912727421,,,,,,,,,,,
1962,10,5,.7486922417879303,,,,,,,,,,,
1962,10,8,.7446561354389911,,,,,,,,,,,
1962,10,9,.7505880114366739,,,,,,,,,,,
1962,10,10,.7835910041489198,,,,,,,,,,,
1962,10,11,.7701548368022633,,,,,,,,,,,
1962,10,15,.7658242424061159,,,,,,,,,,,
1962,10,16,.7632652423891977,,,,,,,,,,,
1962,10,17,.7500222253115689,,,,,,,,,,,
1962,10,18,.7286525818070912,,,,,,,,,,,
1962,10,19,.696278153050554,,,,,,,,,,,
1962,10,22,.6794524231746899,,,,,,,,,,,
1962,10,23,.7097749936824389,,,,,,,,,,,
1962,10,24,.7214936953740128,,,,,,,,,,,
1962,10,25,.7206683339878546,,,,,,,,,,,
1962,10,26,.6741832685791112,,,,,,,,,,,
1962,10,29,.6889005222859659,,,,,,,,,,,
1962,10,30,.702299602820168,,,,,,,,,,,
1962,10,31,.6992566562484526,,,,,,,,,,,
1962,11,1,.6627947237181977,,,,,,,,,,,
1962,11,2,.6292663086062533,,,,,,,,,,,
1962,11,5,.6376161807150038,,,,,,,,,,,
1962,11,7,.629896366998862,,,,,,,,,,,
1962,11,8,.6541108608653863,,,,,,,,,,,
